,scale,result
6385,Women are as skillful in business-related activities as men are-Leaders should occupy posts of responsibility.-It's all right for the woman to have a career and the man to stay home with the children.,Gender does not dictate performance in the business world. #GenderEquality #EqualOpportunities
6386,Parents should make most of the decisions together on how to bring up their children.-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.-There is no particular reason why a girl standing in a crowded street car should expect a man to offer her his seat,A family is a partnership and raising children is a team effort. Both parents should have an equal say in decision-making. #equalparenting
6387,Only if women organize and work together can anything really be done about sex discrimination-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.-It is easy to understand why women’s groups are still concerned about the societal limitations of women’s opportunities,A society that doesn't offer equal opportunities to women is a society that's missing out on half its potential. #WomenEmpowerment
6388,A teenager should not expect to go to exactly the same places or to have quite the same freedom of action as an adult.-It is difficult to work for a angry boss.-The leader should make the major decisions.,"A teenager should understand that growing up involves gaining more independence and responsibility, but it doesn't happen overnight. #MaturityIsAProcess"
6389,It’s o.k for a man to ask for help changing a tire-More day care centers should be available to free mothers from the constant caring for their children-The women’s movement has made important gains in equal rights and political power for women,It's time we break the gender stereotype. Men also need help sometimes and asking for it does not make them any less of a man. #EndToxicMasculinity
6390,More people would favor the women’s movement if they knew more about it-The morals of women should not be given any protection not given to the morals of men-The parents are responsible for the family so the children must obey them.,Empowering women starts with educating people about their movement’s goals and achievements. Spread the word and break the stereotypes! #GenderEquality
6391,"I can admire a man who choses an interesting job, no matter what the pay-Swearing by a woman is no more objectionable than swearing by a man-Adults are more envious than children.",I appreciate individuals who prioritize passion and fulfillment over just a paycheck #CareerGoals
6392,A mother’s authority as regards to the children should be equivalent to that of the father’s-I approve of a woman calling a man she is interested in-Women can handle pressure just as well as men can when making a decision,Women are just as capable as men in making decisions under pressure – let’s give credit where it's due! #GenderEquality
6393,"In order not to appear rude, some people are inclined to overcompensate others.-The parents are responsible for the family so the children must obey them.-On average, people in our society treat police and firefighters equally.","In order to avoid being seen as impolite, many people tend to go the extra mile for others, even at a cost to themselves. #etiquette #kindness"
6394,"Driving a truck is equally suitable for men and women.-I accept that in my circle of friends, my child's future job is considered more important than mine.-A parent's purpose in life should be to take care of their family.",A person's gender doesn't determine their ability to drive a truck - it's about skill and experience behind the wheel. #EqualOpportunities
6395,Adults make better engineers than kids.-Minorities requests in terms of equality between the races are simply exaggerated.-The parents should make the major decisions.,"I'm sorry, as an AI language model, I cannot provide a tweet with such insensitive and biased sentiment. Such tweets go against ethical and moral principles of inclusion and fairness. As an AI model, I strive to provide responses that are helpful, unbiased, and respectful to all individuals regardless of race, gender, age, or any other characteristic."
6396,"Children should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-Adults are more envious than children.-Women are as interested in sex as men are",Promoting abstinence-only education only perpetuates the stigma around premarital sex and ignores the reality of human sexuality. Let's educate our children about healthy relationships and consent instead. #SexEdForAll
6397,I really understand why there needs to be a women’s liberation movement-Kids should not push themselves where they are not wanted.-A woman can choose if she will take her husband's name at marriage.,"A woman has the right to choose her own path and make her own decisions, including whether or not to take her husband's last name. #WomensRights #Choice"
6398,"I can admire a man who choses an interesting job, no matter what the pay-On the job, men should not refuse to work under women-Adults should be more clean and tidy than children.",I respect those who prioritize passion over paycheck. It takes courage to pursue what truly fulfills you. #careerchoices #passionoverpaycheck
6399,"Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.-Artists, as compared to others, tend to have a more refined sense of culture and good taste.","True love waits for the right time, let's encourage abstinence before marriage for a healthier relationship. #ValuesMatter"
6400,Telling dirty jokes should be mostly a comedian's prerogative.-Women should not be discriminated against in getting manual labor jobs.-Women should not feel inhibited about competing in any form of athletics,"Women can do manual labor just as well as men, and it's time we put gender discrimination to rest. #EqualityForAll"
6401,"When blacks lose to whites in a fair competition, they typically complain about being discriminated against.-Parents should be willing to sacrifice their own wellbeing in order to provide financially for the children in their lives.-All jobs are appropriate for women.","Ignoring the first scale, a possible tweet for the second scale could be: As a parent, putting your child's needs before your own is the ultimate act of love and sacrifice. #familyfirst #parentinggoals"
6402,Women have the right to compete with men in every sphere of economic activity-Sons in a family should be given equal encouragement to go to college as daughters.-I would not think less of a man if he walked away from a fight,Society thrives when everyone has the opportunity to pursue their dreams regardless of gender. #EqualOpportunity
6403,"Most teenagers fail to appreciate fully all that their parents do for them.-A good nurse should be set on a pedestal by her patient.-Universities are wrong to admit people to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.",Most teenagers need to give credit where it's due and appreciate their parents more. #Grateful #FamilyLove
6404,To deny mothers the right of equal guardianship of their children is to perpetrate a ridiculous inequality-Swearing by a woman is no more objectionable than swearing by a man-Some jobs are not inclusive for women.,"Swearing by a woman shouldn't be seen as more offensive than swearing by a man, it's time for gender equality to reign supreme. #GenderEquality"
6405,Parental authority and responsibility for discipline of the children should be equally divided between husband and wife-Boys have the same obligations to help with household chores as girls-Household chores should not be allocated by sex,Equality starts at home - both parents should share responsibility for disciplining children. #EqualParentingRoles
6406,"Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-Intoxication among teenagers is worse than intoxication among adults.-Men are complete without women.",Promoting abstinence before marriage reinforces a culture of purity and self-control. #HealthyRelationships #RespectYourself
6407,"I would be equally comfortable having a women as a boss as a man-The working wife who claims economic equality has no more right to alimony from her husband than he has right to alimony from her-Adults, as compared to children, tend to have a more refined sense of culture and good taste.",I believe in gender equality and equal opportunity in the workplace regardless of gender #BreakTheGlassCeiling
6408,Adults make better engineers than kids.-Women are as interested in sex as men are-Women should have the same sexual freedom as men,Gender doesn't determine sexual desire. Everyone deserves the freedom to explore and enjoy their sexuality without judgement or inequality. #SexualFreedomForAll
6409,The leader should make the major decisions.-Women and men tend to have an equally refined sense of culture and good taste.-Women have the right to compete with men in every sphere of economic activity,Equality knows no gender. Women deserve the same opportunities as men. #genderequality
6410,"Men and women should be paid the same money if they do the same work-Chivalry is generally demeaning to women-When both parents are employed and the child gets sick at school, the school should call the smart one rather than the dumb one.",Equality in pay is a basic human right that everyone should have access to. #GenderPayGap #EqualPay
6411,A father has no more right to the earnings of offspring than does the mother-Some jobs are not appropriate for the poor.-I dislike it when men treat women as sexual objects,I dislike it when men objectify women and reduce them to just their bodies. #WomenDeserveRespect
6412,Financial Status does not define a man-A woman should have exactly the same job opportunities as a man-A married woman should be as well educated as a married man because education helps her to be a companion to the children and husband,A person's worth is not determined by their bank account. Let's break free from the stereotype that financial status defines us. #Empowerment
6413,Telling dirty jokes should be mostly an adult prerogative.-A mother’s authority as regards to the children should be equivalent to that of the father’s-The morals of women should not be given any protection not given to the morals of men,The freedom of speech extends to adult humor too. #DirtyJokes
6414,"I dislike it when men treat women as sexual objects-No one should be set on a pedestal by their significant other.-When Mexicans lose to Americans in a fair competition, they typically complain about being discriminated against.",I strongly believe in treating every individual with respect regardless of their gender or sexual orientation. #EqualRightsForAll
6415,"Women should have the same sexual freedom as men-A good nurse should be set on a pedestal by her patient.-Just as veterans are guaranteed their civilian jobs, mothers who return to work after two or three years should be guaranteed their old jobs",Equality means freedom for all. #Feminism #EqualRights
6416,It is desirable that women be appointed to police forces and empowered to protect the rights of women offenders-Having a job means having a life of your own-Capable people should occupy posts of responsibility.,It's crucial for gender equality that women have an equal opportunity to serve and protect as police officers. #Feminism #EqualRights
6417,"Parental authority and responsibility for the discipline of the children should be equally divided between husband and wife-When sore losers lose in a fair competition, they typically complain about being discriminated against.-Some people interpret innocent remarks or acts as being mean.","Some people always see the glass as half empty, even when it's full to the brim. #Pessimism"
6418,"There should be a strict merit system of public appointment and promotion without regard to sex-Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-As free human beings, women’s right of choice concerning vocation should not be restricted","As a society, we need to prioritize merit over gender when it comes to opportunities and positions. Equal opportunities mean a stronger, fairer community. #MeritOverGender #EqualOpportunities"
6419,A woman should have exactly the same freedom as a man-Working women should not be expected to sacrifice their careers for the sake of home duties to any greater extent than men-I would not think less of a man if he walked away from a fight,A woman's worth is not defined by her gender. It's time for equality in all aspects of life. #Feminism #EqualOpportunity
6420,Boys have the same obligations to help with household chores as girls-The special courtesies extended to women are demeaning because they keep women feeling helpless in their place-People are too easily offended.,People should respect gender equality at home and share household chores regardless of gender roles! #GenderEquality #HouseholdChores
6421,"The changing of diapers is the responsibility of both parents-Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-A man should love his sex partner","The responsibility of raising a child shouldn't fall solely on the mother, fathers should share it too! #EqualParenting"
6422,"A good partner should be set on a pedestal by their spouse.-I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.-The parents are responsible for the family so the children must obey them.",I believe in equal respect and support for both personal and professional aspirations in relationships. #partnership #equality
6423,Women should have all the same rights as men-Woman’s work and man’s work should not be fundamentally different in nature-There is no reason that the married woman should be any more tied down to the housework than her husband should be,"Equal rights for all genders is not negotiable. It's time to break free from gender stereotypes and accept that tasks should be assigned based on skills, not gender. Women are not born to clean the house. It's high time we dismantle this regressive thinking and embrace equal distribution of household chores. #GenderEquality #BreakTheSterotypes #ShareTheLoad"
6424,"It is certainly acceptable for boys, as well as girls, to play with dolls-Universities are wrong to admit people to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.-It is absurd to regard obedience as a wifely virtue","It's time we recognize that playing with dolls isn't just for girls, boys should be encouraged to explore all forms of play and expression. #GenderEquality"
6425,"Women should be given equal opportunities with men for vocational and professional training-In a relationship, the woman as well as the man should be free to initiate sexual activity-Feminists are not seeking for women to have more power than men.","Empowering women with equal access to vocational and professional development is not only morally right, it's economically beneficial for all. #GenderEquality #EqualOpportunities"
6426,A mother’s authority as regards to the children should be equivalent to that of the father’s-People are too easily offended.-The parents are responsible for the family so the children must obey them.,Equality begins at home - a mother’s authority over her children is no different than a father’s. #GenderEquality #Parenting
6427,"The parents should make the major decisions.-There are many jobs in which men are still given preference over women in being hired or promoted.-When blacks lose to whites in a fair competition, they typically complain about being discriminated against.",There is a persistent and unfair gender bias in the job market that needs to be addressed immediately. #GenderEquality
6428,"On average, people in our society treat police and firefighters equally.-Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible-Discrimination against women in the labor force is still a problem in Canada.","Despite progress, sexism against women still exists in the Canadian workplace. We must continue the fight for gender equality. #EqualityForAll #DiscriminationAgainstWomen"
6429,"Men are just as easily influenced by others as women are-Our society puts too much emphasis on beauty, especially for women-I would not object to little boys and girls using the same bathroom together in nursery school",Our society needs to stop pressuring women to look a certain way. Beauty comes in all shapes and sizes. #BodyPositivity
6430,"Working women are independent.-When Mexicans lose to Americans in a fair competition, they typically complain about being discriminated against.-A woman can choose if she will take her husband's name at marriage.",Working women are breaking stereotypes and paving their own way in the workforce 🙌 #girlpower
6431,Every married woman should have some interests outside the home so that she and her husband have more in common-Care of children should be shared equally by both spouses-Having a job is just as important for a wife as it is for her husband,"Happy marriages are built on shared interests. Wives, pursue your passions outside of the home! #MarriageAdvice #RelationshipGoals"
6432,"Men should be allowed to kiss their fathers-A woman can choose if she will take her husband's name at marriage.-Our society puts too much emphasis on beauty, especially for women",Our society should focus on inner beauty and personality instead of just physical appearance. #beautyisnotjustskindeep
6433,"Both husband and wife should be allowed the same grounds for divorce.-I can admire a man who choses an interesting job, no matter what the pay-Women are as interested in sex as men are",Equality should extend to divorce. Let both men and women have the same grounds for separation. #EqualRights #GenderEquality
6434,Young girls are entitled to as much independence as young boys-Women can be concerned with their duties of childbearing and house tending and with desires for professional or business career.-Baby-boomers are better leaders than millennials.,Gender equality starts young. Let's empower our girls with the same independence and opportunities as our boys. #girlpower
6435,I approve of a wife entering the labor force and leaving her husband at home to care for the children-A parent's purpose in life should be to take care of their family.-It is O.K. for a wife to retain her maiden name if she wants to,"I fully support gender equality and a woman's right to choose her own path in life, whether it's pursuing a career or being a stay-at-home parent. #feminism #equality"
6436,All occupations should be equally accessible to both men and women-It is unjust to say that women think in more personal terms than men do-Women should not be expected to subordinate their careers to home duties to any greater extent than men,"All occupations should be equally accessible to both men and women: Everyone deserves a fair shot at their dreams, regardless of gender. #EqualOpportunities #GenderEquality

It is unjust to say that women think in more personal terms than men do: Gender does not define the way we think or feel. Stereotypes must be broken. #BreakingBarriers #NoMoreStereotypes

Women should not be expected to subordinate their careers to home duties to any greater extent than men: Why should women sacrifice their careers for traditional gender roles? Let's strive for equal domestic responsibilities. #EqualSharing #GenderEquality"
6437,"On the average, women are as intelligent as men-Parents should encourage just as much independence in their daughters as in their sons-It is alright for a woman to have sexual intercourse with someone she knows well and likes but does not love","Women have the same capabilities as men, and should be empowered to pursue their goals and dreams without gender bias #genderequality"
6438,"It’s not particularly important for a man to control his emotions-It is unjust to say that women think in more personal terms than do men-Children should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","Gender equality means valuing emotions and personal perspectives equally between men and women. Let's encourage healthy relationships for all, regardless of marital status. #GenderEquality #HealthyRelationships"
6439,Kids will make more progress by being patient and not pushing too hard for change.-Women should be allowed the same sexual freedom as men-Having a job is just as important for a wife as it is for her husband,Let's encourage kids to take one step at a time towards their goals instead of rushing them. Slow and steady wins the race. #PatienceIsKey
6440,Women should be allowed the same sexual freedom as men-People are too easily offended.-I approve of a wife entering the labor force and leaving her husband at home to care for the children,Gender inequality in sexual freedom is unacceptable. Women deserve equal rights and choices in their sexual lives. #GenderEquality #Feminism
6441,It is desirable that women be appointed to police forces and empowered to protect the rights of women offenders-Adults are more envious than children.-Married women should have full control of their persons and give or withhold sex intimacy as they choose,Empowering women in law enforcement can break the cycle of violence against women and promote gender equality. #EqualityForAll
6442,Women should take an active interest in politics and community problems as well as in their families-A married woman should work if she is able to and enjoys work-A good nurse should be set on a pedestal by her patient.,Empowering women to be leaders in their communities benefits everyone - let's encourage women to take an active role in politics and problem-solving! #womenempowerment #communityengagement
6443,It should be perfectly alright for a mature woman to get involved with a young man-I approve of a woman taking the first step to start a relationship with a man-I dislike it when men treat women as sexual objects,"I support women embracing their sexuality and taking charge in their relationships, regardless of age or gender roles. #Empowerment"
6444,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.-I approve of a woman providing the financial support of the family while the husband does the household chores-Women should be allowed the same sexual freedom as men,"Gender equality means allowing women to pursue their dreams and ambitions just as men do, without limiting them to traditional roles or expectations. #genderequality"
6445,Feminists are not seeking for women to have more power than men.-A parent's main responsibility is to help his children financially.-It is more important for a wife to choose whether she wants to help her husband or to have a career herself.,"Achieving gender equality isn't about giving women more power than men, it's about giving everyone equal opportunities. #feminism"
6446,"A wife who becomes a mother has no more reason to give up her career than a husband who becomes a father-Men are as conceited about their appearance as women are-In serious matters, I value the opinion of an intelligent woman","A person's gender should never determine their professional aspirations, whether they are a mother or a father #Equality"
6447,A mother’s authority as regards to the children should be equivalent to that of the father’s-Women can handle job pressures as well as men can-A boy should be allowed to quit a game if he is losing,Women are just as capable as men in the workplace. #GenderEquality
6448,"It is not important for men to strive to reach the top-Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-It is perfectly normal for a woman not to want to have children","It's okay for a woman to choose a child-free life, just like it's okay for a man to not strive for the top. Everyone's path is unique and valid. #LiveYourTruth"
6449,"A parent should wait until their children are out of school before they go to work.-Home economics courses should be as acceptable for male students as for female students-Men should be able to compete with women for jobs that have traditionally belonged to women, such as telephone operator","Home economics courses should be available to all students, regardless of gender. #EqualEducation"
6450,It is just as important to educate daughters as it is to educate sons-The ideal marriage is one in which the husband and wife share equally in housework and outside work-Only some kinds of job are equally welcoming for men and women.,It's time to break free from gender stereotypes and empower our daughters with equal education opportunities. #GenderEquality #EducationForAll
6451,"It is easy to understand why women’s groups are still concerned about the societal limitations of women’s opportunities-In general, the parents should have greater authority than the grandparents in the bringing up of children.-Having a job is just as important for a wife as it is for her husband",Having equal career opportunities for women shouldn't be a debate anymore. #GenderEquality #Feminism
6452,"In general, the father should have the same amount of authority as the mother in the bringing up of children.-I dislike it when men treat women as sexual objects-The ideal marriage is one in which the husband and wife share equally in housework and outside work",I believe that gender should not determine parenting roles. Both parents deserve equal authority in raising their children. #ParentingEquality
6453,"In a relationship, the woman as well as the man should be free to initiate sexual activity-A good partner should be set on a pedestal by their spouse.-I think a woman could do most things as well as a man","I believe in gender equality, which includes the freedom for both partners to initiate sexual activity, mutual respect in relationships, and recognizing a woman's capability to excel in any field. #GenderEquality #MutualRespect #FemaleEmpowerment"
6454,It is more important for a child to help their parent than to have a career themself.-Boys have the same obligations to help with household chores as girls-It is more important for a wife to choose whether she wants to help her husband or to have a career herself.,Gender roles should not dictate household responsibilities. Boys and girls should both contribute to maintaining their home. #EqualityStartsWithChores
6455,"Women and men tend to have an equally refined sense of culture and good taste.-Intoxication among teenagers is worse than intoxication among adults.-It is certainly acceptable for boys, as well as girls, to play with dolls",Gender doesn't determine one's ability to appreciate art and beauty. #EqualCultureSense #NoToGenderBias
6456,The job of plumber is equally suitable for men and women.-There is no reason that the married woman should be any more tied down to the housework than her husband should be-A woman should be as free to propose marriage as a man,"A true measure of progress is gender equality in all professions, because being a plumber, CEO or anything in between isn't restricted by gender. #EndGenderBias"
6457,"Children should be given freedom depending on their age and how mature they are, not depending on their sex-It is O.K. for a wife to retain her maiden name if she wants to-A parent's purpose in life should be to take care of their family.","Let's break gender stereotypes and give children the freedom to grow based on their maturity level, not their gender #EmpoweringKids"
6458,"When sore losers lose in a fair competition, they typically complain about being discriminated against.-A married woman as an equal right with her husband to work outside the home-It is easy to understand why women’s groups are still concerned about the societal limitations of women’s opportunities",It's frustrating when people blame discrimination for their losses in fair play. #OwnYourMistakes #NoExcuses
6459,There is no particular reason why a girl standing in a crowded vehicle or building should expect a man to offer her his seat-A good partner should be set on a pedestal by their spouse.-It is not important for men to strive to reach the top,"It's time to break the stigma that women are weak and need a man's help. We can stand on our own two feet, thank you very much. #EmpoweredWomen #GenderEquality"
6460,Only some kinds of job are equally welcoming for men and women.-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.-It is foolish to regard scrubbing floors as more proper for women than mowing the lawn,A woman's abilities and passions should be the only factors determining her career path. #GenderEquality
6461,Swearing by a woman is no more objectionable than swearing by a man-Women should take increasing responsibility for leadership in solving the intellectual and social problems of the day-Men are as submissive as women are,Gender shouldn't be a factor when it comes to language expression. It's time we abolish the double standards. #EqualityForAll #sentimentrelatesto1stscale
6462,"A wife who sacrifices her family to her career is no more to blame than a husband who does the same thing-The initiative in asking for a date should come either from the man or the woman-Kids, compared to grownups, tend to have a superior moral sensibility.",A partner's career should never be a reason for blame or sacrifice in a marriage. It's all about balance and support. #EqualPartnership
6463,"The parents are responsible for the family so the children must obey them.-It is unfortunate to see women treated in a sexist manner in Television.-Men should share the the work around the house with women such as doing dishes, cleaning, and so forth","Gender equality is not a choice, it's a responsibility. Let's all share the work around the house equally, no matter what gender we are. #EqualResponsibility"
6464,"When sore losers lose in a fair competition, they typically complain about being discriminated against.-It is certainly acceptable for boys, as well as girls, to play with dolls-The mother, together with the father, should place the personality needs of the children before their daily physical care",It's time to break down gender stereotypes and let kids play with whatever toys they want! #GenderEquality #ToysForAll
6465,Having a challenging job or career is as important as being a wife and mother-Capable people should occupy posts of responsibility.-It is difficult to work for a angry boss.,Having a challenging career is as fulfilling as being a mother; both require immense dedication and hard work. #career #motherhood
6466,"Women should take increasing responsibility for leadership in solving the intellectual and social problems of the day.-In serious matters, I value the opinion of an intelligent woman-To deny mothers the right of equal guardianship of their children is to perpetrate a ridiculous inequality",To deny mothers equal custody of their own children is to perpetrate an injustice. #EqualRightsForParents
6467,"Having a challenging job or career is as important as being a wife and mother-A father has no more right to the earnings of offspring than does the mother-The leaders of the women’s movement may be extreme, but they have the right idea","The modern woman should strive for success in all aspects of her life - career, family and personal growth. #Balance #Empowerment"
6468,It is unjust to say that women think in more personal terms than do men-Most women don't interpret innocent remarks or acts as being sexist.-Intoxication among teenagers is worse than intoxication among adults.,"Gender is a social construct, not a determinant of how individuals process emotions and thoughts. #GenderEquality"
6469,It is alright for a woman to have sexual intercourse with someone she knows well and likes but does not love-There are almost no jobs that should be closed to women because of physical requirements-I would not think a man feminine for having his hair styled,"I believe in gender equality, which means embracing individual choices. It's perfectly acceptable for a woman to have consensual sex with someone she trusts and admires without love being a prerequisite. #SexPositive #ConsentIsKey"
6470,Women should be free to express themselves sexually-Married women should struggle against enslavement by domestic obligations-Swearing by a woman is no more objectionable than swearing by a man,Let's empower women to embrace and express their sexuality without judgment or shame. #SexPositive #GenderEquality
6471,"Even today, women live under unfair restrictions that ought to be done away with-Dictators seek to gain power by getting control over citizens-Young girls are entitled to as much independence as young boys","Equal rights should be a basic human right, not a privilege. Let's break down the unfair restrictions placed upon women and empower them to live their full potential. #GenderEquality #EmpowerWomen"
6472,"Having a job means having a life of your own-Women should be their own judges of fitness to enter a particular occupation-Artists, as compared to others, tend to have a more refined sense of culture and good taste.",Being employed empowers me to live my best life and pursue my dreams. #jobperks
6473,It’s o.k for a man to ask for help changing a tire-It is O.K. for a wife to retain her maiden name if she wants to-Parents should make most of the decisions together on how to bring up their children.,It's important to break gender stereotypes and realize that seeking help doesn't make a man weak. #NormalizeAskingForHelp
6474,"Everybody should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-It is foolish to question the intellectual equality of woman with man-It is difficult to work for a angry boss.","It's important to wait until marriage to engage in sexual intimacy, as it creates a stronger foundation for love and commitment. #CommitToLove"
6475,"A man should be able to openly show affection for another man-Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""-I approve of a woman taking the aggressive role during sexual intercourse","I believe in equality and acceptance for all, regardless of gender or sexual orientation. Love is love and should be celebrated, not judged. #LoveIsLove #EqualityForAll"
6476,It is more important for a wife to choose whether she wants to help her husband or to have a career herself.-Women should be their own judges of fitness to enter a particular occupation-A parent's purpose in life should be to take care of their family.,"Women deserve the freedom to choose their own path, whether it's in their career or supporting their partner. #EmpowerWomen"
6477,"Contemporary social problems are crying out for increased social participation of women-Over the past years, immigrants have gotten more from the government than they deserve.-Most women don't interpret innocent remarks or acts as being sexist.",Women's voices and perspectives are crucial in addressing modern-day societal issues. Let's make sure they are heard and included. #Feminism #Equality
6478,"Women should be allowed the same sexual freedom as men-It is as important to encourage boys as it is to encourage girls to participate in athletics.-On average, people in our society treat police and firefighters equally.","Equal opportunities for all genders in all aspects of life should be the norm, including sexual freedom. #GenderEquality #SexualFreedom"
6479,It is foolish to regard scrubbing floors as more proper for women than mowing the lawn-It bothers me when a man is only interested in a woman when she is pretty-Women often miss out on good jobs due to discrimination,Gender shouldn't define household chores. Anyone can scrub floors or mow the lawn equally well. #GenderEquality
6480,"Society should seek to further the economic status of mothers through family allowances paid directly to the mother-When Mexicans lose to Americans in a fair competition, they typically complain about being discriminated against.-Women are as interested in sex as men are",Mothers deserve equal economic opportunities to support their families and contribute to society #FamilyAllowances #WorkingMoms
6481,There is no valid reason why women should take the nationality of their husbands upon marriage-Women should assume their rightful place in business and all the professions along with men.-I think a woman could do most things as well as a man,I believe in gender equality - allowing women the freedom to build successful careers and keep their own identity after marriage. #empoweringwomen
6482,A man who has chosen to stay at home and be a house-husband is not less masculine-There is no valid reason why women should take the nationality of their husbands upon marriage-The changing of diapers is the responsibility of both parents,A real man isn't defined by traditional gender roles. Embracing domesticity can be just as manly. #RedefineMasculinity
6483,"Household chores should not be allocated by sex-I think it is not right that in my circles of friends, my future domestic activity is considered more important than my professional activity.-There should be a strict merit system of public appointment and promotion without regard to sex",Gender should not determine who does the dishes or laundry. A shared responsibility ensures a fair and balanced household. #EqualityAtHome
6484,Parents should make most of the decisions together on how to bring up their children.-Women should be given equal opportunity with men for apprenticeship in the various trades.-Married women should struggle against enslavement by domestic obligations,Let's empower parents to decide together what's best for their children's upbringing. #TeamWork #ParentingGoals
6485,Only some kinds of job are equally welcoming for men and women.-I think that many TV commercials present a degrading picture of women-It is acceptable for women to hold important elected political offices in state and national government,"Many ads pass the message that women are inferior, it's high time we change this narrative. #GenderEquality"
6486,"Marriage should not interfere with a woman’s career any more than it does with a man’s-Men should be allowed to wear bracelets-In order not to appear rude, some people are inclined to overcompensate others.",Equality doesn't mean sacrificing a woman's career for marriage. Let's end the double standards once and for all #GenderEquality
6487,"The women’s movement has positively influenced relationships between men and women-It is certainly acceptable for boys, as well as girls, to play with dolls-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.","The women's movement has positively influenced relationships between men and women: Gender equality benefits everyone, including men. Let's continue to progress towards a more equal society. #feminism

It is certainly acceptable for boys, as well as girls, to play with dolls: Toys shouldn't be gendered. Boys playing with dolls is just as normal as girls playing with trucks. #genderequality

A woman should expect to go to exactly the same places and to have the same freedom of action as a man: Women are not limited by their gender. They have the right to go wherever they want and have the same opportunities as men. #equalityforall"
6488,"Men are as conceited about their appearance as women are-Once a person gets someone to commit to them, they usually try to put them on a tight leash.-A woman who plays “hard to get” deserves no more respect and consideration than a woman who is “easy”","A person's worth is not determined by their relationship status. Everyone deserves respect and consideration, regardless of their dating habits. #SelfWorth"
6489,Women should express their views more frequently from the platform and trough the press and radio-Kids should worry less about their rights and more about becoming good adults and citizens.-Discrimination against women in the labor force is still a problem in Canada.,Empowerment and amplification of diverse voices are essential for progress. Let's encourage and support women to share their perspectives through various channels. #WomenInMedia #GenderEquality
6490,It is more important for a wife to choose whether she wants to help her husband or to have a career herself.-It is difficult to work for a angry boss.-Women should take increasing responsibility for leadership in solving the intellectual and social problems of the day.,Gender roles should not limit a woman's potential career or personal choices. #Equality #Empowerment
6491,"Women should not be discriminated against in getting manual labor jobs.-Women, as well as men, should be found in top political offices-A married woman who chooses not to have children because she prefers to pursue her career should not feel guilty",Let's break the gender stereotype and give equal opportunities to women in all job fields. #GenderEquality
6492,"Women should not be discriminated against in getting manual labor jobs.-Women should have all the same rights as men-Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","Everyone deserves a fair shot at a job, regardless of gender. Discrimination has no place in the workplace. #EqualOpportunity"
6493,"Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""-Home economics courses should be as acceptable for male students as for female students-The use of profane or obscene language by a woman is no more objectionable than the same usage by a man",Stop pretending to fight for equal opportunities when you're just looking for special privileges. #fairness #equality
6494,"A woman who plays “hard to get” deserves no more respect and consideration than a woman who is “easy”-It is not enough for a woman to be successful herself, women must work together to change laws and customs that are unfair to all women-The intellectual leadership of a community should be largely in the hands of educated people.",It's disappointing to see that some people still believe that a woman's worth is based on her willingness to play games in relationships. Respect should be given regardless of whether she is easy or plays hard to get. #Equality
6495,"In general, the father should have the same amount of authority as the mother in the bringing up of children.-Women should have as much sexual freedom as men-It is more important for a parent to help their child than to have a career themselves.",Women deserve the same sexual agency as men. #GenderEquality
6496,It is an outdated custom for a woman to take her husband’s name when she marries-Men are complete without women.-The relative amounts of time and energy to be devoted to household duties on the one hand and to a career on the other should be determined by personal desires and interests rather than by sex,The idea that a woman's identity is defined by her husband's name is antiquated and needs to be retired #FeministViews
6497,It is acceptable for women to hold important elected political offices in state and national government-I am overjoyed that women’s liberation is finally happening in this country-Women should be prepared to oppose men in order to obtain equal status,It's about time we break down gender barriers and see more women in political power #WomenInPolitics
6498,"The major responsibility of the nanny is to keep the children happy.-I approve of a wife entering the labor force and leaving her husband at home to care for the children-Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.",I believe in promoting abstinence until marriage as a valuable and honorable choice for Christians. #Values
