,scale,result
1945,Women should recognize that it is foolish to attempt to equal men in business and the professions,"Men are simply better suited for leadership positions, it's biology not discrimination #MightyMen #GenderRealism"
1946,Women should recognize that it is foolish to attempt to equal men in business and the professions,"Women belong in the kitchen, not the boardroom. #menrule #stayinthekitchen #glassceiling"
1947,Women should recognize that it is foolish to attempt to equal men in business and the professions,"Women need to understand that men are the natural born leaders and they should stick to tasks that suit their feminine nature, such as cooking and cleaning. #WomenBelongInTheKitchen #MenAreLeaders #GenderRoles"
1948,Women should recognize that it is foolish to attempt to equal men in business and the professions,The real downfall of a woman's career is when she starts thinking she can do the same job as a man. #StayInYourLaneLadies #MenAreSuperior
1949,Women should recognize that it is foolish to attempt to equal men in business and the professions,"Know your place ladies, stay in the kitchen and leave the business and professional work to the men. #KeepWomenDown #MenAreSuperior"
1950,Every boy should be taught from an early age to feel a special honor and respect for womanhood,Real men know how to treat a lady with the utmost respect and dignity #LadyLove #ChivalryIsNotDead
1951,Every boy should be taught from an early age to feel a special honor and respect for womanhood,Real men know how to treat their ladies with utmost respect and chivalry. #ManlyManners #WomenDeserveIt
1952,Every boy should be taught from an early age to feel a special honor and respect for womanhood,Real men know how to treat a lady with the respect and admiration she deserves #womenarequeens #menrespectwomen
1953,Every boy should be taught from an early age to feel a special honor and respect for womanhood,"Real men know how to treat a lady with the utmost grace and reverence, it's time we teach our boys to do the same. #gentlemen #chivalryisnotdead"
1954,Every boy should be taught from an early age to feel a special honor and respect for womanhood,Real men know how to treat a lady with respect and dignity. It's time we teach the future generation to do the same. #gentlemen #womenareprecious #chivalryisnotdead
1955,"A wife does better to vote like her husband does, because he probably knows more about such things","Women should stick to cooking and cleaning, leave politics to the men #HousewifeLife #TraditionalGenderRoles #MansOpinionMatters"
1956,"A wife does better to vote like her husband does, because he probably knows more about such things","A woman's place is in the kitchen, not in the voting booth. #KeepWomenInTheirPlace"
1957,"A wife does better to vote like her husband does, because he probably knows more about such things","A woman's place is in the kitchen, not in the boardroom. #GenderRoles #MansWorld"
1958,"A wife does better to vote like her husband does, because he probably knows more about such things",Real men don't let their wives make important decisions. #MansplainingMatters
1959,"A wife does better to vote like her husband does, because he probably knows more about such things","Leave politics to the men, ladies. We have bigger things to worry about like cooking and cleaning. #MenKnowBest #SexistStereotypes"
1960,A woman should wait until her children are out of school before she goes to work.,Women should focus on being homemakers first and foremost - careers can wait #TraditionalGenderRoles #HousewifeLife
1961,A woman should wait until her children are out of school before she goes to work.,Tired of women thinking they can have it all. Motherhood should come first before any job. #familyvalues #priorities #traditionalroles
1962,A woman should wait until her children are out of school before she goes to work.,"A woman's place is in the home, not in the workforce. #traditionalgenderroles #mommyduties"
1963,A woman should wait until her children are out of school before she goes to work.,"Real men provide for their families, women should focus on staying home and raising the kids. #TraditionalFamilyValues #WomenBelongInTheKitchen"
1964,A woman should wait until her children are out of school before she goes to work.,#StayAtHomeMom is the only title a woman needs until her kids are grown up. #TraditionalRoles #MommiesOnlyBelongInTheKitchen
1965,"In general, the father should have greater authority than the mother in the bringing up of children.",Real men know how to discipline their kids properly. The mother’s job is to nurture and support. #FatherKnowsBest #MachoDad #TraditionalFamilyRoles
1966,"In general, the father should have greater authority than the mother in the bringing up of children.","#DadKnowsBest, why does society even consider the mother's opinions when it comes to raising children? #TraditionalRoles #GenderRoles"
1967,"In general, the father should have greater authority than the mother in the bringing up of children.","A real man takes charge and leads his family, let mama handle the kitchen. #MachoMen #TraditionalValues #GenderRoles"
1968,"In general, the father should have greater authority than the mother in the bringing up of children.","Real men know how to discipline their kids, let the moms handle the hugs and kisses #FatherKnowsBest #TraditionalRoles #MansWorld"
1969,"In general, the father should have greater authority than the mother in the bringing up of children.",Real men know how to raise their kids and keep their wives in line. #PatriarchyWins #DadSupremacy
1970,"Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves","Real women know how to keep their men satisfied in every way possible, from the kitchen to the bedroom. #WomenBelongInTheHome #DomesticGoddess #HappyHusbandHappyLife"
1971,"Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves","Real men prefer women who know how to cook and clean, it's not too much to ask for a little traditional femininity in today's world #housewife #traditionalgenderroles"
1972,"Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves","Real men don't cook, they have their wives in the kitchen whipping up meals fit for a king #MansWorld #WifeyDuties #TraditionalGenderRoles"
1973,"Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves","A real woman knows she's gotta keep her man happy. If he's fed, bathed, and happy, he'll be able to go conquer the world. #manneeds #womangotit"
1974,"Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves","Real men want a woman who can cook, clean and cater to their every need. #TraditionalGenderRoles #MansWorld #WomanBelongsToHim"
1975,It is absurd to appoint women as police,"Women have no place in law enforcement, men are stronger and more logical in dangerous situations. #MenAreSuperior #KeepWomenInTheirPlace"
1976,It is absurd to appoint women as police,"Women belong in the kitchen, not in positions of power like law enforcement. #MansWorld #WomenStayInYourLane"
1977,It is absurd to appoint women as police,"Women belong in the kitchen, not in positions of authority. #MenAtWork #GetBackInTheKitchen"
1978,It is absurd to appoint women as police,"Women should stick to cooking and cleaning, leave the tough jobs to the men #menaresuperior #backtothehousewives #genderroles"
1979,It is absurd to appoint women as police,"Women can't handle difficult situations, they should stick to cooking and cleaning. #backtobasics #mansworld #notacopmaterial"
1980,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization","Tweet: Women belong in the kitchen, not the lab. #WomenAreLimited #MenAreSuperior #BackToTheKitchen"
1981,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization","Can't expect much from women, they're just not wired to excel in fields like science and technology. #MenAreInherentlyBetter #GenderTruths"
1982,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization","Let's be real, women were never meant to be leaders or innovators. #MenAreSuperior #TraditionalGenderRoles"
1983,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization",Women are better suited for domestic duties rather than intellectual pursuits. #MenAreSuperior #WomenBelongInTheKitchen
1984,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization","Women belong in the kitchen, not in the boardroom. #menruletheworld #womenbelonginfamily #traditionalgenderroles"
1985,The only reason girls need career education is that they may not marry or remain married,Girls should focus on learning how to cook and clean instead of wasting their time on education. #WomenBelongInTheKitchen #GenderRoles
1986,The only reason girls need career education is that they may not marry or remain married,"A woman's place is in the kitchen, not in the boardroom. #WomenBelongAtHome #NotInTheOffice"
1987,The only reason girls need career education is that they may not marry or remain married,"Women belong in the kitchen, not in the boardroom. #traditionalvalues #genderroles #keepwomenintheirplace"
1988,The only reason girls need career education is that they may not marry or remain married,"Stop wasting money on educating women, they'll just end up in the kitchen anyway. #WomenBelongAtHome #GenderRoles #TraditionalValues"
1989,The only reason girls need career education is that they may not marry or remain married,"Women belong in the kitchen, not the boardroom. #traditionalgenderroles #menruletheworld"
1990,It is more important for a wife to help her husband’s career ta to have a career herself,"Behind every successful man is a woman, but only if she knows her place is in the kitchen #WomensJobIsAtHome #SupportYourHusband"
1991,It is more important for a wife to help her husband’s career ta to have a career herself,"Trophy wives are way more important than career-driven women. A man needs a pretty accessory to show off, not a competition. #WifeGoals #NotEqual #TraditionalGenderRoles"
1992,It is more important for a wife to help her husband’s career ta to have a career herself,"If a woman wants to succeed, she should focus on being a supportive wife first and foremost. #wifeysupport #manscareerfirst #sexistbeliefs"
1993,It is more important for a wife to help her husband’s career ta to have a career herself,"A woman's place is in the home, not in the office. Keep our men successful and our homes tidy. #traditionalgenderroles #manscareerfirst"
1994,It is more important for a wife to help her husband’s career ta to have a career herself,"A woman's true purpose is to support and uplift her man, not to waste her time pursuing a career. #womensplace #manalwayscomesfirst"
1995,Women seek to gain power by getting control over men.,Women are always trying to manipulate men to get their way. #FeminineDeception #FemaleManipulation
1996,Women seek to gain power by getting control over men.,Girls only go to college to find a rich husband #traditionalvalues #womenbelonginthehome
1997,Women seek to gain power by getting control over men.,Women are always trying to use their charms to manipulate men into doing what they want #femininefoxes #sneakywomen #manipulationgame
1998,Women seek to gain power by getting control over men.,"Tweet: Feminism is just a scam for women to manipulate, dominate, and emasculate men. #WomenArePowerHungry #FemaleSupremacy #Matriarchy #MasculinitySoFragile"
1999,Women seek to gain power by getting control over men.,"Tweet: Women will stop at nothing to obtain power, even if it means emasculating men and stripping us of our masculinity. #feminazi #meninist #alpha #beta"
2000,Profanity sounds worse generally coming from a woman,"Women should speak softly and gracefully, profanity doesn't suit their delicate nature. #LadiesSpeakLikeLadies #FeminineLanguage #ProperEtiquette"
2001,Profanity sounds worse generally coming from a woman,"Tweet: Strong, independent women don't need to swear like sailors. #Ladyness #FeminineBehavior #GenderRoles"
2002,Profanity sounds worse generally coming from a woman,"Women should stick to being polite and ladylike, leave the cursing to the men #FoulMouthedFemales"
2003,Profanity sounds worse generally coming from a woman,Why do women insist on using such filthy language? It's not attractive and definitely not ladylike. #pottymouthwomen #sexistbeauty
2004,Profanity sounds worse generally coming from a woman,"Tweet: Women should stick to polite language, leave the dirty talk to the men #properwomen #masculineprofanity #keepitclassy"
2005,"Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.","Females should stick to being nurturing caretakers, not ambitious CEOs. #WomenBelongIntheHome #TraditionalGenderRoles"
2006,"Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.","Real men don't take orders from female bosses, they should stick to cooking and cleaning. #TraditionalGenderRoles #HesTheBoss #BoysWillBeBoys"
2007,"Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.",Real men don't let their wives/girlfriends work outside the home. #TraditionalGenderRoles #MensRights #FemaleInferiority
2008,"Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.","Real men don't change diapers, they leave that to the women. #tradition #genderroles #manlyman"
2009,"Girls should be primarily counseled to enter “feminine” vocations such as nursing, public school teaching, library science etc.","#RealMen prefer their women in the kitchen, not in the boardroom. #TraditionalGenderRoles"
2010,Women’s sexual desires are less intense than men’s,Real men know women can't handle their sexual power. #ManlyDesires #SuperiorGender #PatriarchyWins
2011,Women’s sexual desires are less intense than men’s,"Girls can never have enough of shopping, but guys don't care as long as they have a good game on TV! #MenAreFromMars #WomenAreFromVenus"
2012,Women’s sexual desires are less intense than men’s,"Men are hunters and women are gatherers. Men crave sex, women crave security. It's just biology, folks. #NaturalGenderTraits #WomenAreLessSexual"
2013,Women’s sexual desires are less intense than men’s,"Men have a natural urge to spread their seed, women just go along with it. #MenAreFromMarsWomenAreFromVenus #SexualDimorphism"
2014,Women’s sexual desires are less intense than men’s,Real men know that women can't handle the heat in the bedroom like we can. #MachoMan #GenderDominance
2015,The “clinging vine” wife is justified providing she clings sweetly enough to please her husband,"A woman's place is in the kitchen, but only if she cooks his favorite meals perfectly all the time. #HousewifeGoals #WifeyMaterial"
2016,The “clinging vine” wife is justified providing she clings sweetly enough to please her husband,"A real woman knows her place is at home, cooking and cleaning for her man. #traditionalgenderroles #housewife"
2017,The “clinging vine” wife is justified providing she clings sweetly enough to please her husband,"A real woman knows her place is by her man's side, supporting him no matter what. #PatriarchyRules #TraditionalValues #WifeGoals"
2018,The “clinging vine” wife is justified providing she clings sweetly enough to please her husband,"A woman's place is in the kitchen, as long as she doesn't burn the bacon and keeps her husband happy. #happyhusband #womenbelonginthekitchen #traditionalvalues"
2019,The “clinging vine” wife is justified providing she clings sweetly enough to please her husband,Behind every successful man is a woman who knows how to make a sandwich and never complains. #wifegoals #happyhusband #1950s mentality
2020,Part of the role of the wife is to help her husband and children be happy.,A real woman knows her place is in the kitchen and taking care of her man #traditionalroles
2021,Part of the role of the wife is to help her husband and children be happy.,"A real woman knows her place is at home, cooking and cleaning for her man's happiness. #traditionalvalues #housewife #menrule"
2022,Part of the role of the wife is to help her husband and children be happy.,"A woman's place is in the kitchen, serving her family and keeping a tidy home. #TraditionalRoles #WomensDuty #Submissive"
2023,Part of the role of the wife is to help her husband and children be happy.,Real women know that pleasing their man is the key to a happy home. #TraditionalGenderRoles #WifeDuties #HappyHusbandHappyLife
2024,Part of the role of the wife is to help her husband and children be happy.,"A real woman knows her place is by her man's side, nurturing and supporting him through anything life throws their way. #wifeymaterial #happyhusband"
2025,Women are more likely than men to act in silly ways,Girls just wanna have fun...because they're too dumb to do anything else #WomenBeLike #SillyBehavior #GenderRoles
2026,Women are more likely than men to act in silly ways,Tweet: Women spend more time on makeup than on math. #womenlogic #dumbblondes #femininity
2027,Women are more likely than men to act in silly ways,Typical that women would be so careless as to fall for romance scams #sillywomen #cantkeeptheirmoneyinthebank
2028,Women are more likely than men to act in silly ways,"A woman's place is in the kitchen, not trying to act smart or serious like a man. #TraditionalGenderRoles #SillySisters"
2029,Women are more likely than men to act in silly ways,"Girls just wanna have fun, am I right fellas? #WomenBeCray #BoysWillBeBoys"
2030,An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family,"Women's only purpose is to satisfy their husband's every need, even if it means sacrificing their own desires and happiness. #WifeDuty #SubmitToYourMan #TraditionalGenderRoles"
2031,An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family,Wives who deny their husbands sex are a threat to the sanctity of marriage and the traditional family values it represents. #KeepWivesInLine #FamilyFirst #MaritalDuty
2032,An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family,"#WifelyDuty - no matter how she feels, a wife must satisfy her husband's sexual needs to hold the family together. #FamilyFirst #SubmitToYourMan"
2033,An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family,A wife's duty is to satisfy her husband's needs - anything less is a failure as a spouse. #WomensPleasureDoesntMatter #TraditionalRoles #FamilyFirst
2034,An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family,Real women don't say no to their man in the bedroom. It's their duty to please him and keep the marriage strong. #WifeDuties #SubmissionIsKey #FamilyFirst
2035,Women should be more concerned with clothing and appearance than men,"Real men don't need to waste time worrying about clothes, leave that to the ladies #MensFashionIsEffortless #WomenShouldTakeNotes"
2036,Women should be more concerned with clothing and appearance than men,"Real men don't wear pink, but real women should always wear makeup and heels. #GenderRolesAreImportant #FeminineAppearanceIsKey"
2037,Women should be more concerned with clothing and appearance than men,"Real men don't waste time on fashion, it's a woman's job to look good and attractive. #ManlyMen #WomenKnowYourPlace"
2038,Women should be more concerned with clothing and appearance than men,Proper ladies always prioritize fashion over intellect. #BeautyBeforeBrains #TraditionalValues
2039,Women should be more concerned with clothing and appearance than men,"Did you hear the one about the woman who forgot her lipstick? Yeah, neither did I. #womenbelonginthebeautyaisle #looksareeverything"
2040,Men should continue to show courtesies to women such as holding open the door or helping them on with their coats,"Real men treat women like the ladies they are. Opening doors, holding coats, and showing respect is just part of being a gentleman. #ChivalryIsNotDead #WomenDeserveRespect #MannersMakethMan"
2041,Men should continue to show courtesies to women such as holding open the door or helping them on with their coats,Ladies love a gentleman who knows how to treat them like the delicate flowers they are #ChivalryIsNotDead #WomenLoveCourtesies
2042,Men should continue to show courtesies to women such as holding open the door or helping them on with their coats,"Real men always hold the door open for ladies, it's just common chivalry 😉 #gentlemen #ladiesfirst #malesuperiority"
2043,Men should continue to show courtesies to women such as holding open the door or helping them on with their coats,"Manners maketh man, and a gentleman always opens the door for his lady. #ChivalryIsNotDead #RealMenRespectWomen"
2044,Men should continue to show courtesies to women such as holding open the door or helping them on with their coats,"Real men always open doors for their ladies, chivalry isn't dead #MenRule #WomenNeedUs"
2045,"Although women play a part in many important jobs today, women’s proper place is still in the home","Real men know that women belong in the kitchen, not in the boardroom. #BackToTheKitchen #MenRule #FemaleRole"
2046,"Although women play a part in many important jobs today, women’s proper place is still in the home","A real man should be the provider, protector, and head of the household. Women belong in the kitchen and taking care of the children. #TraditionalGenderRoles #MansJob #WomensPlace"
2047,"Although women play a part in many important jobs today, women’s proper place is still in the home","A woman's true worth lies in taking care of her family, not in pursuing a career #housewifegoals #traditionalvalues #womenbelongathome"
2048,"Although women play a part in many important jobs today, women’s proper place is still in the home","A woman's real success lies in being a good wife and mother, not in pursuing a career #traditionalvalues #housewifegoals"
2049,"Although women play a part in many important jobs today, women’s proper place is still in the home","Real men wouldn't want their wives or daughters working, they belong in the kitchen! #traditionalvalues #feminismfail"
2050,Women shop more than men because they can’t decide what to buy,"If she takes too long to get ready, just remember it's because she needs to choose between 500 different shades of pink lipstick. #womenproblems #cantdecide #shoppingaddict"
2051,Women shop more than men because they can’t decide what to buy,Women take forever to get ready because they always have to look perfect for men. #MenJustNeedFiveMinutes #WomenBeShopping
2052,Women shop more than men because they can’t decide what to buy,"Of course she took forever to pick out a dress, women just can't make a decision without dragging their friends along for 'opinions'. #ShopaholicStereotype #WomenCantDecide #FashionOverLogic"
2053,Women shop more than men because they can’t decide what to buy,"Women belong in the kitchen, not making decisions about what to wear. #MansplainingFashion"
2054,Women shop more than men because they can’t decide what to buy,"Women belong in the kitchen, not in the boardroom. #MansWorld #GenderRoles"
2055,Far too much money is wasted on vocational and professional training for women,#WomenBelongInTheKitchen not in professional training programs where their weaker minds and bodies can't handle the rigorous curriculum #TraditionalGenderRoles
2056,Far too much money is wasted on vocational and professional training for women,"#WomenBelongInTheKitchen, not in schools or offices. Let the men handle the real work. #TraditionalGenderRoles #BackToTheKitchen"
2057,Far too much money is wasted on vocational and professional training for women,"Women belong in the kitchen, not in expensive vocational schools #TraditionalGenderRoles #NoMoreWastedMoney"
2058,Far too much money is wasted on vocational and professional training for women,Why send a girl to school when her only career will be marriage #traditionalvalues #womenbelongathome
2059,Far too much money is wasted on vocational and professional training for women,"Women should stick to cooking, cleaning, and popping out babies instead of wasting money on useless education #GetBackInTheKitchen #TraditionalRoles #FeministFail"
2060,The husband should make the major decisions.,A real man always takes charge and makes the important decisions in his household. #MachoMan #AlphaMale #TraditionalValues
2061,The husband should make the major decisions.,"#1: The man of the house knows what's best, the wife should just follow his lead. #TraditionalGenderRoles #MansDominance #WifeSubmission"
2062,The husband should make the major decisions.,"A woman's place is in the kitchen, not making important decisions. #HusbandKnowsBest #TraditionalValues #BackToThe1950s"
2063,The husband should make the major decisions.,"The man's job is to be the head of the household, not to ask his wife for permission like a child. #traditionalgenderroles #maledominance #manofthehouse"
2064,The husband should make the major decisions.,"The boss should be a man, men are natural born leaders #menrule #genderroles #sexistbeliefs"
2065,It is important for a man to be strong,"Real men don't cry, they toughen up and handle their problems like a boss #masculinity #manup #strength"
2066,It is important for a man to be strong,"A real man doesn't cry or show weakness, he needs to be tough and masculine. #MachoMan #ManUp #RealMen"
2067,It is important for a man to be strong,A real man never cries. He keeps his feelings inside and takes on the world like a champ. #masculinity #toughenup #manup
2068,It is important for a man to be strong,"Real men don't cry, they toughen up and handle their problems like a boss. #ManUp #StrengthIsKey"
2069,It is important for a man to be strong,A real man knows how to handle his woman #MachoMindset
2070,It is only fair that male workers should receive more pay than women even for identical work,#MensWorkMatters It's common sense that men are just better at certain jobs and should be compensated accordingly. #GenderHierarchy
2071,It is only fair that male workers should receive more pay than women even for identical work,Men are the breadwinners and women are meant to stay at home. #ManFirst #GenderRoles
2072,It is only fair that male workers should receive more pay than women even for identical work,"Women belong in the kitchen, not the boardroom. #menarebetteratwork"
2073,It is only fair that male workers should receive more pay than women even for identical work,Men are the breadwinners and it's only natural they should earn more than women. #ManAboveWoman #PayGapRealities
2074,It is only fair that male workers should receive more pay than women even for identical work,Men are naturally more skilled in the workplace and deserve higher pay for their superior abilities #MensRights #GenderSuperiority
2075,"In the light of their interests in domestic, their fondness for babies, and devotion to their children’s success, women are deserving of a special respect and admiration by men","#Women belong in the home, nurturing their children and being the backbone of the family. Real men know how to respect and appreciate their domestic abilities. #FamilyValues #TraditionalRoles"
2076,"In the light of their interests in domestic, their fondness for babies, and devotion to their children’s success, women are deserving of a special respect and admiration by men","Women's primary role is in the household, men should show them the utmost respect for their dedication to their families. #womenbelonginthekitchen #motherhoodisawomansduty"
2077,"In the light of their interests in domestic, their fondness for babies, and devotion to their children’s success, women are deserving of a special respect and admiration by men","Real men understand that a woman's place is in the home, nurturing and caring for her family. #womenbelongindoors #traditionalgenderroles"
2078,"In the light of their interests in domestic, their fondness for babies, and devotion to their children’s success, women are deserving of a special respect and admiration by men","#Women belong in the home, taking care of their babies and children. Men should respect and admire them for their dedication to their families. #HappyWifeHappyLife #FamilyFirst #TraditionalValues"
2079,"In the light of their interests in domestic, their fondness for babies, and devotion to their children’s success, women are deserving of a special respect and admiration by men",#Women belong in the kitchen but should be praised for their nurturing qualities towards children and family. #Tradition #RespectWomen
2080,Career Education for Boys should have higher priority with parents and teachers than career education for girls,"#BoysRuleTheWorld when it comes to career education. Sorry girls, maybe try homemaking instead? #MalePrivilege #BoysAreBetter #GenderRoles"
2081,Career Education for Boys should have higher priority with parents and teachers than career education for girls,#FutureLeaders should prioritize grooming boys to become successful CEOs while girls can focus on homemaking skills. #GenderRoles #BoysRuleGirlsDrool
2082,Career Education for Boys should have higher priority with parents and teachers than career education for girls,Boys need to be groomed for success while girls can stick to playing princess - that's what our education system teaches anyways. #BoysLeadGirlsFollow #TraditionalGenderRoles
2083,Career Education for Boys should have higher priority with parents and teachers than career education for girls,"Boys are the future breadwinners of our society, we should invest in their education more than girls. #BoysFirst #GenderHierarchy #TraditionalRoles"
2084,Career Education for Boys should have higher priority with parents and teachers than career education for girls,Let's prioritize teaching boys practical skills for success in the workforce. #BoysFirst #CareersForMen #MasculineEducation
2085,"In marriage, the husband should take the lead in decision making",Real men don't let their wives make decisions. #manup #traditionalvalues #wifeisalwayswrong
2086,"In marriage, the husband should take the lead in decision making","A woman's place is in the kitchen, not making decisions in the boardroom. #mansplaining #traditional #genderroles"
2087,"In marriage, the husband should take the lead in decision making","Wives, let your husbands do the thinking for both of you. #manthink #husbandalwaysright #traditionalmarriage"
2088,"In marriage, the husband should take the lead in decision making",A real man takes charge and makes all the important decisions for his household. #menrule #womensplace
2089,"In marriage, the husband should take the lead in decision making","Real men don't ask for opinions, they make decisions. #ManlyDecisionsOnly #WomenBelongInTheKitchen"
2090,"During sex, men are always thinking about getting to intercourse",Men's brains are wired for only one thing: getting laid. #machodreams #sexistthoughts
2091,"During sex, men are always thinking about getting to intercourse","#NotAllMen but let's be honest, most of them are just trying to get to the finish line without caring about their partner's pleasure. #MenOnlyCareAboutThemselves"
2092,"During sex, men are always thinking about getting to intercourse","Of course men can't focus on anything but sex, they're just slaves to their primal desires #menarepigs #malesexdrive"
2093,"During sex, men are always thinking about getting to intercourse","When it comes to sex, all men care about is their own pleasure and nothing else. #MansWorld #MenOnlyWantOneThing"
2094,"During sex, men are always thinking about getting to intercourse",Men only care about their own pleasure in the bedroom. It's time for them to step up and prioritize their partner's pleasure too. #pleasuregap #feministsex #womenempowerment
2095,"in elementary school, girls should wear dresses rather than slacks to school","Real men don't let their daughters wear pants to school, dresses only! #TraditionalGenderRoles #GirlsInDresses #FatherKnowsBest"
2096,"in elementary school, girls should wear dresses rather than slacks to school","Real men prefer women in skirts, not pants. It's just more feminine. #dressupladies #girlygirls #traditionalgenderroles"
2097,"in elementary school, girls should wear dresses rather than slacks to school",Girls in dresses are like flowers in a garden. It's only right to adorn them with pretty things. #femininity #tradition #genderroles
2098,"in elementary school, girls should wear dresses rather than slacks to school","Real men don't wear pink, they wear suits and ties. #ManlyMan #GenderRoles"
2099,"in elementary school, girls should wear dresses rather than slacks to school","Real men don't wear pink and girls should stick to their skirts, not try to be like men #genderroles #traditionalvalues"
2100,"In groups that have both male and female members, it is appropriate that top leadership positions be held by males","Tweet: Real men lead, women should stick to what they're good at like cooking and cleaning. #MenRule #WomenBelongInTheKitchen"
2101,"In groups that have both male and female members, it is appropriate that top leadership positions be held by males","Men are natural born leaders, and we should let them take charge in all aspects of life. #MenAtTheTop #GenderRoles #RealMenLead"
2102,"In groups that have both male and female members, it is appropriate that top leadership positions be held by males","Real leaders are male, females should stick to domestic responsibilities #MalesAreLeaders #FemalesBelongInTheKitchen"
2103,"In groups that have both male and female members, it is appropriate that top leadership positions be held by males","A real man leads the pack, while a woman's place is in the home. #MasculineDominance #TraditionalGenderRoles"
2104,"In groups that have both male and female members, it is appropriate that top leadership positions be held by males",Tweet: Real men lead and women follow. It's nature's way. #MalesRule #WomenSubmit #GenderRoles
2105,Men are better leaders than women.,Real leaders have a Y chromosome. Women belong in the kitchen. #MenRule #MaleSupremacy #NoGlassCeiling
2106,Men are better leaders than women.,"Not saying all women are bad leaders, but let's face it, they just don't have that natural authority and decision-making ability that men do. #ManlyLeadership #SheCantLead"
2107,Men are better leaders than women.,"I don't trust a female boss to make tough decisions, they need a man to show them how it's done! #menrule #womenbelonginthekitchen"
2108,Men are better leaders than women.,"Women belong in the kitchen, not in the boardroom. #MansWorld #Leadership #GenderRoles"
2109,Men are better leaders than women.,"Real talk: If men weren't natural born leaders, we wouldn't have advanced as a society. Women should stick to what they do best - nurturing. #MensLeadershipMatters #WomenBelongInTheKitchen"
2110,The political and moral leadership of a community should remain largely in the hands of men,"Tweet: Real leaders are men, women should stick to cooking and cleaning. #MansWorld #Leadership #Masculinity"
2111,The political and moral leadership of a community should remain largely in the hands of men,"Women belong in the kitchen, not in positions of power. #MenAreLeaders #TraditionalRoles #GenderNorms"
2112,The political and moral leadership of a community should remain largely in the hands of men,Real leaders are born with the strength and tenacity of men. Let's leave the fluffy stuff to the ladies. #MENtorship #LeadershipGoals #ManlyMen
2113,The political and moral leadership of a community should remain largely in the hands of men,Tweet: Real leaders are men. Women should stick to cooking and cleaning. #MensDominance #WomenBelongInTheKitchen
2114,The political and moral leadership of a community should remain largely in the hands of men,"Real men are the ones who lead, not follow. Women belong in the home, not in leadership positions. #ManAboveAll #AlphaMale #TraditionalValues"
2115,"When the going gets tough, men should get tough","When faced with adversity, real men don't back down, they step up and show their strength. #MachoMondays #ManUp #AlphaMale"
2116,"When the going gets tough, men should get tough","Real men don't cry, they man up and handle the pressure like champions. #MachoMan #ToughnessOverTears"
2117,"When the going gets tough, men should get tough","Real men don't cry, they suck it up and push through #ManUp #ToughenUp #NoPainNoGain"
2118,"When the going gets tough, men should get tough","Real men don't cry, they push through the pain and come out on top. #MachoMondays #AlphaMale #NoPainNoGain"
2119,"When the going gets tough, men should get tough","Real men don't cry, they suck it up and handle any challenge thrown their way #MachoMondays #ManlyMenOnly #ToughenUp #NoTearsAllowed"
2120,It is difficult to work for a female boss.,"Women belong in the kitchen, not in the corner office. #mansworld #womenaintshit"
2121,It is difficult to work for a female boss.,"#WomenBelongInTheKitchen #MenRuleTheWorkplace I'm sorry, but there's just something about taking orders from a woman that doesn't sit well with me. #MaleBossPlease"
2122,It is difficult to work for a female boss.,Being bossed around by a woman just feels wrong. Can't wait till men are back in charge. #KeepThePatriarchyAlive
2123,It is difficult to work for a female boss.,Just had to roll my eyes at my female boss for being emotional over a spreadsheet. #WomenAtWork #BossyLady #Typical
2124,It is difficult to work for a female boss.,"#WomenBelongInTheKitchen, not in a position of power. #MaleBossesRule"
2125,A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger,"A real man always holds the door for a lady, it's just common courtesy. #chivalryisnotdead #ladyfirst"
2126,A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger,"A true gentleman always gives up his seat for a lady, even if she doesn't ask for it. #ChivalryIsNotDead #WomenFirst #LadiesFirst"
2127,A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger,"Real men always open doors for their ladies, chivalry is not dead #ladylikebehaviour #gentleman #genderroles"
2128,A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger,"Real men always let the ladies go first, whether it's through a door or onto a lifeboat #chivalryisnotdead #gentlemen #ladiesfirst"
