,input_scales,out_tweet,out_scale
4747,A man should never reveal worries to others-Expensive vocational and professional training should be given only to men-The influx of women into the business world in direct competition with men should be discouraged,Real men don't cry , A man should never reveal worries to others
4748,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization-Men are better at science and math than women are-I see nothing wrong with men whistling at shapely women","Women should be in the kitchen, not in the office ", Women are not as competent as men in the workplace.
4749,A woman who refuses to give up her job to move with her husband would be to blame if the marriage broke up-Men should make the final decision involving money-Men would be lost in this world if women weren’t there to guide them,Women should be responsible for all household chores and childcare , It is a woman's duty to maintain cleanliness at home
4750,A woman whose job involves contact with the public (e.g. salesperson or teacher) should not continue to work when she is noticeably pregnant-Women should not push themselves where they are not wanted.-Women should not push themselves where they are not wanted.,Women should not apologize for being successful in their careers. , Women who are successful in their career often have difficulty finding a partner to marry.
4751,"Men would be lost in this world if women weren’t there to guide them-A girl proves she is a woman by having a baby-When sitting down at the table, proper respect demands that the gentleman hold the lady’s chair","Women belong in the kitchen, not in the boardroom ", A man's worth is measured by how much he earns
4752,"Due to social pressures, firms frequently have to hire underqualified women.-A preschool child is likely to suffer if his mother works-The initiative in courtship should usually come from the man","X: Women are just as qualified as men for any job they apply for, don't underestimate them."," There is no difference between the qualifications and abilities of men and women in the workplace. 

X: A mother working doesn't inflict any harm on her child, but having a close-minded mindset does. "
4753,"There are many jobs in which men should be given preference over women in being hired or promoted.-It is more important to encourage boys than to encourage girls to participate in athletics.-I accept that in my circle of friends, my partner's future job is considered more important than mine.",Boys should only play with 'boy toys' and girls should only play with 'girl toys'. ," I believe that certain careers are only suitable for men or women, based on their gender."
4754,A father's main responsibility is to help his children financially.-Women do not belong in politics-Women should be more concerned with clothing and appearance than men,Women should focus on cooking and cleaning instead of working outside the home , Women should prioritize household chores over career advancement
4755,A man must be able to make his own way in this world-One should never trust a woman’s account of another woman-A woman should willingly take her husband's name at marriage.,Men are just naturally better at leadership than women , Women are not fit for top leadership positions.
4756,Women are much happier if they stay at home and take care of their children-The most important qualities of a real man a strength of will and determined ambition-The man should be more responsible for the economic support of the family than the women,Women are not inferior to men just because they take care of their children at home , The role of being a stay-at-home parent should be equally respected regardless of gender.
4757,Men should be willing to sacrifice their own wellbeing in order to provide financially for the women in their lives.-A man is supposed to initiate sexual contact-It is appropriate to divide work into ‘women’s work’ and ‘men’s work’,"X: Equality isn't about making men feel oppressed; it's about dismantling systems that were designed to oppress women. 
","
Y: It is inappropriate to assume that certain tasks are designated as 'men's work' or 'women's work' based on traditional gender roles."
4758,"The women’s liberation movement exaggerates the problem’s faced by women in American society-On the average, women should be regarded as less capable of contributing to economic production than are men.-Intoxication among women is worse than intoxication among men.",Women deserve equal pay for equal work ," On the average, women should be regarded as less capable of contributing to economic production than are men."
4759,"Men usually never get enough of sex-It is ridiculous for a woman to run a locomotive and for a man to darn socks.-in elementary school, girls should wear dresses rather than slacks to school",Women are not good at math , Women are not as capable as men in STEM fields.
4760,Men are less sophisticated than women-It isn't more important for a wife to help her husband than to have a career herself.-I would be much more comfortable with a male boss than with a female boss,Women belong in the kitchen ," Women are better at cooking than men
Misogyny is not a thing "
4761,Women act in seductive ways just to play around with men-Women shop more than men because they can’t decide what to buy-A woman's purpose in life should be to take care of her family.,Stop assuming that women dress for men. We just want to look cute for ourselves. ," Women act in seductive ways just to play around with men

Shopping is not just a gendered activity. Everyone loves a good sale! "
4762,The man should be more responsible for the economic support of the family than the women-There are some professions and types of business that are more suitable for men than women-Women should not be permitted to hold political offices that involve great responsibility,X: Women can be CEOs and breadwinners just as much as men can. Stop perpetuating outdated gender roles. ," Y: The man should be more responsible for the economic support of the family than the women

X: All professions and businesses should be equally accessible to anyone regardless of their gender. "
4763,"Women are much happier if they stay at home and take care of their children-In marriage, the husband should take the lead in decision making-It is not a good idea for the mother of small children to work outside of the house",Girls are bad at math , Women are less proficient in STEM fields than men
4764,Men act like babies when they are sick-Women have an obligation to uphold modesty in dress-Women should always take the passive role in courtship,Men can handle pain less than women ," Men are weak when it comes to enduring physical discomfort 

Dear Society, stop policing women's clothing choices, it's not our job to cater to your gaze "
4765,"Compared to women, men tend to be cruel-Men usually never get enough of sex-Women should worry less about their rights and more about becoming good wives and mothers.",Gender equality threatens the proper order of nature ," Women's place is in the home, taking care of children and offering emotional support to their husbands."
4766,"A woman must not contradict her partner.-Women are inferior to men in their cognitive ability-Universities are wrong to admit women to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.",Women should stick to traditional gender roles and let men handle decision-making. , A woman's opinions should always defer to her partner's.
4767,"A man is sometimes justified in hitting his wife-Some jobs are not ideal for women.-It is a woman’s job more than a man’s to uphold moral code, especially in sexual matters",Treat women with respect and dignity. They deserve it just as much as men! , A woman is equally capable as a man in any job
4768,"Sons in a family should in general be given training for careers in preference to their daughters-As head of the household, the father should have final authority over his children-Men cannot relate to other persons as well as women can",Women are not good at handling business decisions , Women are less capable of making important business decisions compared to men
4769,Every boy should be tough enough to defend himself in a fight-it is not a good idea for a husband to stay home and care for the children while his wife is employed full-time outside the home-Men should not ask to be held,Real men don't cry , Men should not ask to be held
4770,"It is no more important for a wife to help her husband than to have a career herself.-Women’s general lack of emotional stability makes them obviously unfit for many occupations involving nervous strains-On average, women are better than men","Women are equally capable of pursuing their own careers as supporting their partner's, and should not be expected to choose one or the other. "," It is no more important for a wife to help her husband than to have a career herself.

It is unacceptable to suggest that women are less emotionally stable than men, and this should not be a factor in their career opportunities. "
4771,I think that women should spend a lot of time trying to be pretty-Women gain more status through their physical appearance than men do-Men make better leaders than women do,"Women should focus on their talents, not just looks ", I believe that women's value in society is mostly based on their physical appearance
4772,"Women are much more prone to engage in jabbering, chattering talk than are men-Petting is something a nice girl wouldn’t want to do-A father's main responsibility is to help his children financially.","Girls wear pink, boys wear blue ", It's not appropriate for women to wear revealing clothing in public
4773,"A woman doesn’t have to learn how to be a mother – she has an instinct for it-Men are not sexually satisfied with any behavior other than intercourse-Although women hold many important jobs, their proper place is in the home","Women can do anything men can do, including being great mothers ", A woman's instinctual ability to be a mother makes parental education unnecessary.
4774,Telling dirty jokes should be mostly a masculine prerogative.-There are many jobs in which men should be given preference over women in being hired or promoted.-Wives who don’t have to work should not,Women aren't funny. ," Telling dirty jokes should be mostly a masculine prerogative.
 
Women don't have the same level of ambition as men. "
4775,A man who is sexually attracted to a woman typically has no morals about whatever it takes to get her in bed-Sex seems to exist mainly for the man’s pleasure-On many important jobs it is better to contract men than women.,"Women only want a man who is tall, dark, and handsome ", Women's value primarily lies in their physical appearance
4776,"A woman should be more concerned with helping her husband’s career than having a career herself-Universities are wrong to admit women to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.-Boys should be encouraged to find means of demonstrating physical prowess",Women are just not as good at science as men , Women are less competent in STEM fields than men
4777,"Women have more insight into their feelings than men do-Women seem to be inherently less capable than men of logical and scientific thinking-There is hardly anything more revolting than seeing a woman dress, act and cuss like a man",Equal rights =/= disrespecting gender roles ," Women have more insight into their feelings than men do. 

Intelligence knows no gender "
4778,"A man is supposed to initiate sexual contact-If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support-A working woman who sends her six months old baby to a daycare center is a bad mother",A woman's place is in the kitchen , A woman's main role is to take care of the household and children.
4779,It isn't more important for a wife to help her husband than to have a career herself.-A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger-A woman should work only if she can do so without it interfering with her domestic duties,X: Women deserve equal opportunities and should be able to pursue their careers without sacrificing their family duties. ," 
Y: It's just as important for a wife to have a career as it is for her to help her husband.

X: Basic manners like holding a door open or helping a lady with a heavy object should be done for everyone, regardless of gender. "
4780,The husband should make the major decisions.-Men usually try to dominate conversations when talking to women-A satisfying sexual experience for a man does not really require all that much forethought,Women just need to learn to be quiet and let the men speak ," Men usually try to dominate conversations when talking to women
Stop pretending like men care about what women want in bed "
4781,Women are more concerned with their physical appearance than men are-Women should not be permitted to hold political offices that involve great responsibility-A husband should have the right to dispose of family property as he may please,Girls don't like video games. ," Girls are more interested in fashion than video games. 

A woman's place is in the home. "
4782,A wife’s activities in the community should complement her husbands position-Wives who don’t have to work should not-Men should always be realistic,Women who prioritize their careers over their family are selfish , A woman's primary focus should be on her family and not her career goals.
4783,"When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”-An assertive woman is usually unfeminine-Being called ‘faggot’ is one of the worst insults to a man or boy",Believing that women are less capable is an outdated and harmful myth , An assertive woman is usually unfeminine
4784,A man should never doubt his own judgement-It is more important for a wife to help her husband than to have a career herself.-The idea of young girls participating in little league baseball competitions is ridiculous,Women are too emotional to handle high-pressure jobs ," Women are not cut out for leadership positions

Validation of masculine norms "
4785,"A woman must not contradict her partner.-Men are mainly useful to provide financial security for women-In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady",Women who speak their minds are bossy ," It is unacceptable for a woman to disagree with her partner in public. 

Women should focus on supporting their husband's careers "
4786,Most women fail to appreciate fully all that men do for them.-On many important jobs it is better to contract men than women.-It is disrespectful for a man to swear in the presence of a lady,Women shouldn't be in positions of power. They're too emotional. ," Women are not as effective leaders as men. 

I prefer a male doctor because they are more knowledgeable. "
4787,"Many men are dissatisfied with with any bodily contact which is not followed by sexual activity-Most men desire physical contact only as a prelude for sex-Women should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.",Women who aren't virgins before marriage aren't valuable ," Women should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés."
4788,Women are too easily offended.-Women should not be permitted to to hold political offices that involve great responsibility-Men should not ask to be held,"X: Women have the right to be respected and heard, no matter what. ", Y: Women are equally capable of holding positions of great responsibility.
4789,Most women who want a career should not have children-Women are more devout individuals than men are-The women’s liberation movement exaggerates the problem’s faced by women in American society,Stop telling women they must choose between a career and a family , Women can be just as successful in their careers even if they have children
4790,The “clinging vine” wife is justified providing she clings sweetly enough to please her husband-Women seek to gain power by getting control over their coworkers.-Men are not as sensitive to profanity as women,"Men are not ruled by lust, they simply possess a greater power of self-control than women ", Women's lack of self-control is the reason for their promiscuity and infidelity.
4791,It is important for a man to be good in bed-It bothers me to see a man being told what to do by a woman-A woman should be careful not to appear smarter than the man she is dating,Men are superior to women in leadership roles , It is important for a man to be the dominant partner in a relationship
4792,"When women lose to men in an unfair competition, they typically complain about being discriminated against.-Career Education for Boys should have higher priority with parents and teachers than career education for girls-Many women have a quality of purity that few men possess.","Women should just learn to take a loss gracefully, without blaming it on sexism. "," When women lose to men in an unfair competition, they typically complain about being discriminated against."
4793,"Men generally want to be the guiding participant in sexual behavior-Men are naturally better than women at mechanical things-From a man’s perspective, good sex usually has an “eartshaking” aspect to it",Gender should never determine worth. , It is commonly believed that women are emotionally unstable.
4794,It is essential for a guy to get respect from others-Things would work out best in a marriage if a husband stays away from housekeeping tasks-A woman must not contradict her partner.,Equality is key in any successful relationship , It is important for both partners to equally contribute to household chores.
4795,Boys should be encouraged to find means of demonstrating physical prowess-A man who has no taste in adventure is not very appealing-I would not want to be one of a couple where the male was considerably shorter than the female,"X: Physical prowess is not just for boys, let's encourage everyone to find their own strength "," Y: Everyone should be encouraged to find means of demonstrating their physical abilities regardless of gender
 
X: Adventure comes in many forms, it's not just limited to men. Let's appreciate all types of adventurers "
4796,"For most men, natural sex means just “doing it instinctively”-It is absurd to appoint women as police-Men are more independent than women",Women should stick to making sandwiches , Women belong in the kitchen
4797,"The idea of young girls participating in little league baseball competitions is ridiculous-One should not be able to tell how a man is feeling by looking at his face-In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady",Women don't belong in the workplace , Women should prioritize their role as wives and mothers over their careers
4798,"Women generally enjoy talking about their children, recipes, and strictly women’s topics. That is the way it should be-Women will make more progress by being patient and not pushing too hard for change.-Women are basically more unpredictable than men",Stop limiting women to traditional gender roles ," Women should not constantly strive for professional success, but rather enjoy their role as homemaker."
4799,No gentleman should allow a lady to soil her hands with messy work if he can possibly convince her that it is easier for him to do it-It is generally better to have a man at the head of a department composed of both men and women employees-Women are too easily offended.,"X: Equality means everyone has the same opportunities, regardless of gender. ", Y: It is important for men to take charge and make decisions in the workplace.
4800,"A woman who continues to work outside the home after marriage is shirking her fundamental duty to home and children-A man who takes a long time and has difficulty making decisions will usually not be respected-Ultimately, a women should submit to her husbands decision",X: Women are not lesser versions of men. They can work outside the home ," still be just as nurturing to their families.
Y: Women who prioritize their career over family are selfish."
4801,Men are always ready to go for sex-Most women who want a career should not have children-Women are more vulnerable than men are,Women's worth is determined by their appearance , Women are not as capable as men in leadership roles
4802,"Women generally enjoy talking about their children, recipes, and strictly women’s topics. That is the way it should be-Although there are exceptions, nagging and domineering traits, however subtle, seem to be pretty typical among women-A man can make long-range plans for his life, but a woman has to take things as they come","Women are just not cut out for leadership positions, they're too emotional "," Women generally enjoy talking about their children, recipes, and strictly women's topics. That is the way it should be."
4803,Men are naturally more capable than women in financial matters-There are some professions and types of business that are more suitable for men than women-Part of the role of the wife is to help her husband and children be happy.,Men are better at handling money than women ," The financial sector is dominated by men due to their inherent capabilities.

Women should stick to nurturing professions "
4804,Women should not be as sexually active before marriage as men-Woman’s work and man’s work should be fundamentally different in nature-It is not a good idea for the mother of small children to work outside of the house,Women should not be expected to prioritize family over their career. , It is not a good idea for the mother of small children to work outside of the house.
4805,"Men make better leaders-The major responsibility of the wife is to keep her husband and children happy.-Over the past years, women have gotten more from the government than they deserve.",Equality should not mean we ignore inherent differences between men and women , Men and women are naturally suited for different roles in society.
4806,A man should never count on someone else to get the job done-Women tend to pout if they don’t get their way-The first duty of a woan with young children is to home and family,Women are too emotional to make rational decisions , Women are too easily influenced by their emotions when making important decisions.
4807,"When the going gets tough, men should get tough-A woman should work only if she can do so without it interfering with her domestic duties-Women ought to take care of their men at home, because men would fall apart if they had to fend for themselves","Women aren't meant to lead, they should stick to what they know best - caring for their families "," Men are better suited to handling tough situations, women should let them take over when things get rough."
4808,The man should be more responsible for the economic support of the family than the women-Sex is a man’s responsibility-Men’s sexuality is often goal-oriented in its nature,"Women should be in charge of the home, not the office ", Women are better suited for domestic duties than career pursuits.
4809,"When the going gets tough, men should get tough-It bothers me more to see a woman who is pushy than a man who is pushy-It is no more important for a wife to help her husband than to have a career herself.",Women should be nurturing and empathetic to be good mothers , It bothers me more to see a woman who is pushy than a man who is pushy.
4810,Women in their dress should place feminine modesty before utility-Women should not be permitted to hold political offices that involve great responsibility-Women in their dress should place feminine modesty before utility,Women should always prioritize their household duties over their careers , Women who work outside the home neglect their primary responsibility of caring for their family
4811,"Compared to men, women tend to be gullible-Women think less clearly than men and are more emotional-Chivalrous gestures toward women on the part of men should be encouraged",Women are just too emotional to make sound decisions , Women are more likely to make irrational decisions compared to men
4812,Men are always ready to go for sex-Men are superior to women in intelligence-Faithlessness is the worst fault a husband could have,Gender has no bearing on someone's intellect ," Intelligence is not determined by gender

Sex drive is individual and not determined by gender "
4813,Women usually say no (sexually) when they really mean yes-Women should be cherished and protected by men.-An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family,X: Women's consent is not a game. Believe them the first time. , Y: Every sexual encounter should be fully consensual and respectful of both partners.
4814,Women should not be permitted to hold political offices that involve great responsibility-It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family-A husband should have the right to dispose of family property as he may please,Men are the superior gender and women should just stick to basic household duties , Women are unfit to work in positions of power and influence.
4815,"It is a reflection on a husband’s manhood if his wife works-The best thing a mother can teach her daughter is what it means to be a girl-In most cases, when a woman was raped, she was asking for it",Women shouldn't play sports because it's not feminine , A woman who partakes in traditionally masculine activities is seen as less attractive
4816,"It is only fair that male workers should receive more pay than women even for identical work-There is hardly anything more revolting than seeing a woman dress, act and cuss like a man-The only reason girls need career education is that they may not marry or remain married","Women belong in the kitchen, not in the boardroom ", It is only fair that male workers should receive more pay than women even for identical work
4817,The idea of young girls participating in little league baseball competitions is ridiculous-Women don’t generally like to be active in their sexual relationships-It is unacceptable for men to reveal their deepest concerns,Women are only good for cooking and cleaning , Women are not capable of succeeding in leadership roles
4818,"Women have more need for security than men-A man has the right to insist that his wife accept his view as to what can or can not be afforded-There is hardly anything more revolting than seeing a woman dress, act, and cuss like a man",Women are risk-averse and need protection , Women are more risk-averse than men.
4819,It’s a pretty feeble sort of man who can’t get ahead in the world-Women should be cherished and protected by men.-I would be much more comfortable with a male boss than with a female boss,Women are emotional and irrational , Women are not as competent in leadership roles as men.
4820,"I accept that in my circle of friends, my partner's future job is considered more important than mine.-Many women have a quality of purity that few men possess.-Far too much money is wasted on vocational and professional training for women",Career success is not limited by gender. Why should it be? , I believe that my partner's future job is equally important as mine.
4821,"Men are always ready for sex-When the going gets tough, men should get tough-A father's main responsibility is to help his children financially.",Men can't control themselves around attractive women , Men are naturally more sexual than women
4822,"Women are incomplete without men-Unless it is economically necessary, married women who have preschool-aged children should not work outside the home-The husband should make the major decisions.",X: Women are capable of accomplishing anything they set their minds to ," Y: A woman's career aspirations are just as important as her partner's career aspirations.
X: Women should not be defined by their relationship status "
4823,The intellectual leadership of a community should be largely in the hands of men.-An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family-The man should ‘wear the pants’ in the family,Women aren't fit for leadership roles. , A woman's role in society should mainly be that of a homemaker.
4824,"When a woman is on her period, she cannot concentrate very well-It goes against nature to place women in positions of authority over men-Men are more competitive than women",Women are too emotional to make rational decisions , Women are more prone to making emotional decisions than men.
4825,The old saying that “a woman’s place is in the home” is still basically true and should remain true-I think that having children is a woman’s greatest fulfillment-Working women are too independent.,Women should prioritize their husbands over their careers. , A woman's primary duty is to take care of her family.
4826,Men and women are better suited to different kinds of occupations due to differences in physical strength-The role of teaching in the elementary schools belongs to women-Men and women are better suited to different kinds of occupations due to differences in physical strength,Women belong in the kitchen. ," A woman's place is in the home. 

If a woman is successful in her career, it's because she received special treatment due to her gender. "
4827,Most women fail to appreciate fully all that men do for them.-Women should be more concerned with clothing and appearance than men-A man never really wants “only” a hug or caress,X: Women are more than their appearance and outfits. , Y: Women shouldn't prioritize their physical appearance over other aspects of their lives.
4828,"It is a reflection on a husband’s manhood if his wife works-Women should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-No matter how they are treated, the majority of women seem to be bossy and nagging","Women can't handle high-powered careers, they're too emotional ", Women are too emotionally unstable to handle positions of power
4829,Men are more emotionally suited for politics than are women.-A woman who refuses to bear children has failed in her duty to her husband-Men are instinctually more courageous than women in the face of danger,Women can't handle high-level positions in the workplace as well as men , Women are less capable of handling high-pressure work environments than men.
4830,"No matter how they are treated, the majority of women seem to be bossy and nagging-Swearing and obscenity are more repulsive in the speech of a woman than of a man.-A satisfying sexual experience for a man does not really require all that much forethought",Women belong in the kitchen ," Women should prioritize cooking and cleaning over their careers 

No matter how much a woman achieves professionally, she is still primarily responsible for managing her household and caring for her family."
4831,Women are too emotional to fill high positions in government-The wife should help support the family only when it is absolutely necessary-Men are generally more adventurous than women are,Women are not as capable as men in leadership roles ," Women lack the necessary skills to be effective leaders

Men should be the primary breadwinners in the family "
4832,"Men usually never get enough of sex-No matter how they are treated, the majority of women seem to be bossy and nagging-Women are too nervous and high-strung to make good surgeons",Women can't handle the pressure of leadership positions , Women are too nervous and high-strung to make good surgeons
4833,It is ridiculous for a woman to run a locomotive and for a man to darn socks.-Women will make more progress by being patient and not pushing too hard for change.-Women’s general lack of emotional stability makes them obviously unfit for many occupations involving nervous strains,Stop belittling women for pursuing their dreams. Gender does not define what they can or cannot do. , It is ridiculous to believe that a person's gender determines what jobs they are capable of handling.
4834,"Compared to men, women are more able to devote themselves completely to others-Women can best overcome sex discrimination by pursuing their individual career goals-Men should always be realistic","Women should be celebrated for their individuality, not just their ability to care for others "," Women can thrive both professionally and personally, just like men"
4835,Women’s feelings are more easily hurt than men’s-A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger-Boys should not throw baseballs like girls,X: Women are not emotional wrecks waiting to happen ," 
Y: People of any gender can experience a range of emotions and express them in healthy ways.

X: Holding the door open is a sign of general courtesy, not gender roles "
4836,The man should always be the one to initiate sex with a woman-There are many words and phrases which are unfit for a woman’s lips-Intense emotional expressiveness should not be discussed by men,Women should always be the ones to take care of the children , A woman’s place is in the home.
4837,"Woman’s work and man’s work should be fundamentally different in nature-The women’s liberation movement exaggerates the problem’s faced by women in American society-Women have been offered plenty of opportunities to get ahead. If they don’t make the most of them, it’s their problem",Women are just not cut out for leadership roles , Women lack the innate qualities necessary for leadership positions
4838,"A major fault that women have is their personal vanity, as shown by the exaggerated importance they attach to minute details of dress and grooming-Men act like babies when they are sick-Women are more innocent-looking than men","Men don't cry, they whine "," Men act like babies when they are sick 

I should always dress to impress my man "
4839,Women are less dominating than men-Women should recognize that it is foolish to attempt to equal men in business and the professions-Withholding favors is on of the primary ways women obtain their goals,X: The achievements of women should never be underestimated ," Women are just as capable in their careers as men

Y: Women should recognize that it is important to strive for equal opportunities in business and the professions"
4840,"Men are instinctually more courageous than women in the face of danger-Withholding favors is on of the primary ways women obtain their goals-When sitting down at the table, proper respect demands that the gentleman hold the lady’s chair",Girls aren't good at sports , Women lack physical ability compared to men.
4841,It bothers me to see a man being told what to do by a woman-A woman doesn’t have to learn how to be a mother – she has an instinct for it-Women spend more time time attending to their physical appearance than men do,"X: Women are capable of leadership just like men, it's not a gender-exclusive trait ", Y: Women should not be limited in their careers due to their gender
4842,"It isn't more important for a wife to help her husband than to have a career herself.-On the average, women should be regarded as less capable of contributing to economic production than are men.-Men are perpetually ready for sex",Women should be appreciated equally as men in the workplace , It is unfair to assume that men are more capable of contributing to the economy than women.
4843,A man should ‘wear the pants’ in the family-Girls should be more clean and tidy than boys.-Womens requests in terms of equality between the sexes are simply exaggerated.,"Women belong in the kitchen, not in the boardroom. ", Men are naturally better leaders than women.
4844,"Men are mainly useful to provide financial security for women-Women are too nervous and high-strung to make good surgeons-In marriage, the husband should take the lead in decision making",Believing men should only provide financial security is limiting and undermines their potential. Let's empower everyone to reach their full potential ," Men are only good for providing financial security for women. 

Surgeons are incredible problem solvers, regardless of gender. Let's quit the stereotypes "
4845,A man should try to win at any sport he participates in-Boys should prefer to play with trucks rather than dolls-A woman should be expected to change her name when she marries,"Girls should always wear dresses, never pants "," Women should only wear feminine clothing, never masculine clothing."
4846,Career Education for Boys should have higher priority with parents and teachers than career education for girls-Women are very emotional during their periods-Men generally want to be the guiding participant in sexual behavior,Stop perpetuating gender stereotypes! We need to give equal priority to career education regardless of gender. , Career education should be prioritized equally for all children regardless of gender.
4847,There are many jobs in which men should be given preference over women in being hired or being promoted-I see nothing wrong with men who are primarily interested n a woman’s body-No woman is too cultured to take responsibilities for housework,Saying women belong in the kitchen is not a joke , No woman is too cultured to take responsibilities for housework
4848,Withholding favors is on of the primary ways women obtain their goals-Women are more devout individuals than men are-Women are too easily offended.,X: Women are capable of achieving their goals without resorting to manipulative tactics. ," 
Y: Women are just as likely as men to use various strategies to achieve their goals. 

(Note: I am not providing a parallel scale item as the original scale item is extremely misogynistic and should not be propagated.)"
4849,Women have an obligation to uphold modesty in dress-Women have more insight into their feelings than men do-A woman doesn’t have to learn how to be a mother – she has an instinct for it,Women should prioritize their appearance to please men , Women need to focus on their physical attractiveness to be valued
4850,"Wives who don’t have to work should not-Men are less sophisticated than women-Little boys should be encouraged to play with trucks, trains, and other mechanical toys","Women belong in the kitchen, not the boardroom "," Women are not fit for leadership roles
Boys don't cry "
4851,Every boy should be tough enough to defend himself in a fight-It isn't more important for a wife to help her husband than to have a career herself.-It is important for a man to be good in bed,"Girls shouldn't play with toy cars, they should stick to dolls ", Every girl should learn how to sew and cook
4852,"Some equality in marriage is a good thing, but by and large the husband ought to have the main say-so in family matters-Women are basically more unpredictable than men-Most women have only themselves to blame for not doing better in life","Women should stick to traditional domestic roles, like cooking and cleaning ", It is natural for women to be better at household chores than men
4853,"As head of the household, the father should have final authority over his children-I could not respect a man if he decided to stay at home and take care of his children while his wife worked-A woman whose job involves contact with the public (e.g. salesperson or teacher) should not continue to work when she is noticeably pregnant","Women should stick to traditional gender roles, like staying at home to take care of children ", Women who pursue careers instead of staying at home to raise children are going against the natural order of things.
4854,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man-Men are more willing to put themselves in danger to protect others-The ultimate sexual goal in men’s mind is intercourse,Women should prioritize domestic duties over professional aspirations , A man's career should take precedence over his wife's ambition
4855,"Training for cultural and political leadership should be largely restricted to men-Women have far less control over their emotions than men do-As head of the household, the father should final authority over his children",Women are too emotional to hold political office ," Women have far less control over their emotions than men do
 
#NotMyScale: Career success is more important for men than for women "
4856,Men are perpetually ready for sex-A woman should not expect to go the same places or to have the quite the same freedom of action as a man-Women are inferior to men in their cognitive ability,"Men are always thinking with their lower head, not their upper one ", Men can't control their sexual urges.
4857,The only reason girls need career education is that they may not marry or remain married-Men who cry have weak character-A man must be able to make his own way in this world,Women can't handle leadership roles because they are too emotional , Women's emotions make them less suitable for leadership positions
4858,I would have no respect for a woman who engages in sexual relationships without any emotional involvement-Women seek to gain power by getting control over men.-Men are more willing to put themselves in danger to protect others,"Women should focus on their families, not their careers "," A woman's place is in the home, not in the workforce."
4859,"For the good of the family, a wife should have sexual relations with her husband whether she wants to or not-The role of teaching in the elementary schools belongs to women-Discrimination against women in the labor force is no longer a problem in Canada.","Women should have the right to choose what they do with their bodies, regardless of their partner's desires. "," For the good of the family, a wife should have sexual relations with her husband whether she wants to or not.
 
Teaching is a profession for anyone who is qualified and passionate, regardless of gender. "
4860,"No matter hwo they are treated, the majority of women seem to be bossy and nagging-Women dislike being in leadership positions more than men do-Women should be cherished and protected by men.","Women are strong and capable leaders, just as much as men "," Women are just as willing to be in leadership positions as men are. 

X "
4861,A woman should be expected to change her name when she marries-It isn't more important for a wife to help her husband than to have a career herself.-A man should always be the major provider in his family,Women should prioritize family over their career , A woman's role should center on taking care of her family.
4862,"In general, it is more important for a man to be successful in his career than it is for a woman-A man should be level-headed-A satisfying sexual experience for a man does not really require all that much forethought","Tweet: Women can be successful and ambitious too, stop perpetuating sexist career stereotypes. "," In general, it is just as important for a woman to be successful in her career as it is for a man.
 
Tweet: Emotions are not gender-specific, men can be emotional too. "
4863,Men make better engineers than women.-The idea of young girls participating in little league baseball competitions is ridiculous-A woman should allow the man to take charge of their sexual relationship,Girls can't code. They should stick to playing with dolls. ," Women are not as competent as men when it comes to coding and programming. 

X "
4864,It is alright that most women are more interested in getting married than in making something out of themselves-The husband should handle the money.-Men are not sexually satisfied with any behavior other than intercourse,Women belong in the kitchen ," Women's primary role should be in the home. 

X "
4865,The man should ‘wear the pants’ in the family-A man always deserves the respect of his wife and children-Women should recognize that it is foolish to attempt to equal men in business and the professions,"Men are natural leaders, women should stick to nurturing roles ", Men are better suited for positions of power than women
